iter,loss,loss_f,loss_b
1,5.541837692260742,0.0002013944904319942,5.5416364669799805
2,5.539523124694824,0.00020194188982713968,5.539320945739746
3,5.5372114181518555,0.000202608949621208,5.537008762359619
4,5.534903526306152,0.00020338952890597284,5.5346999168396
5,5.53259801864624,0.0002042822598014027,5.532393932342529
6,5.530296802520752,0.00020528513414319605,5.530091285705566
7,5.527998447418213,0.0002063959836959839,5.527791976928711
8,5.5257039070129395,0.0002076135715469718,5.525496482849121
9,5.523413181304932,0.00020893827604595572,5.523204326629639
10,5.521125793457031,0.00021037182887084782,5.520915508270264
11,5.518841743469238,0.00021191606356296688,5.518630027770996
12,5.516561508178711,0.00021357244986575097,5.516347885131836
13,5.514283657073975,0.00021534213738050312,5.514068126678467
14,5.512010097503662,0.0002172257809434086,5.5117926597595215
15,5.509739875793457,0.0002192237152485177,5.509520530700684
16,5.507472991943359,0.00022133596939966083,5.507251739501953
17,5.505209445953369,0.00022356247063726187,5.504985809326172
18,5.502948760986328,0.0002259031607536599,5.50272274017334
19,5.500691890716553,0.00022835773415863514,5.500463485717773
20,5.498438358306885,0.00023092633637133986,5.4982075691223145
21,5.496188163757324,0.0002336089382879436,5.495954513549805
22,5.493940830230713,0.0002364056126680225,5.493704319000244
23,5.491696357727051,0.000239316766965203,5.491456985473633
24,5.489455699920654,0.00024234266311395913,5.489213466644287
25,5.487217426300049,0.0002454836794640869,5.486971855163574
26,5.484983444213867,0.0002487404562998563,5.484734535217285
27,5.48275089263916,0.0002521134738344699,5.482498645782471
28,5.480523109436035,0.00025560325593687594,5.480267524719238
29,5.478296279907227,0.0002592105302028358,5.478036880493164
30,5.476072788238525,0.0002629361115396023,5.4758100509643555
31,5.473852157592773,0.00026678084395825863,5.473585605621338
32,5.471634387969971,0.0002707455132622272,5.471363544464111
33,5.469418525695801,0.0002748308179434389,5.469143867492676
34,5.46720552444458,0.0002790377475321293,5.466926574707031
35,5.464995861053467,0.00028336705872789025,5.464712619781494
36,5.462787628173828,0.0002878198865801096,5.462499618530273
37,5.460582256317139,0.0002923969004768878,5.46028995513916
38,5.458378314971924,0.0002970989444293082,5.458081245422363
39,5.4561767578125,0.0003019269497599453,5.455874919891357
40,5.453978061676025,0.000306881673168391,5.453670978546143
41,5.451780796051025,0.0003119638713542372,5.4514689445495605
42,5.4495849609375,0.00031717453384771943,5.449267864227295
43,5.447392463684082,0.0003225144755560905,5.447070121765137
44,5.4452009201049805,0.00032798448228277266,5.444872856140137
45,5.4430108070373535,0.00033358525251969695,5.442677021026611
46,5.440823554992676,0.00033931745565496385,5.440484046936035
47,5.438636779785156,0.00034518211032263935,5.438291549682617
48,5.436452388763428,0.00035117994411848485,5.43610143661499
49,5.434269428253174,0.0003573118301574141,5.43391227722168
50,5.432088375091553,0.0003635785833466798,5.431725025177002
51,5.429908275604248,0.00036998098948970437,5.429538249969482
52,5.427729606628418,0.0003765202418435365,5.4273529052734375
53,5.4255523681640625,0.00038319698069244623,5.425168991088867
54,5.423376083374023,0.00039001231198199093,5.422986030578613
55,5.421202182769775,0.00039696722524240613,5.420804977416992
56,5.419028282165527,0.0004040628264192492,5.418624401092529
57,5.416856288909912,0.00041130001773126423,5.416444778442383
58,5.4146857261657715,0.0004186802252661437,5.414267063140869
59,5.412515640258789,0.00042620429303497076,5.4120893478393555
60,5.410346984863281,0.00043387370533309877,5.409913063049316
61,5.408178806304932,0.00044168956810608506,5.4077372550964355
62,5.406012535095215,0.0004496531037148088,5.405562877655029
63,5.403846740722656,0.0004577653598971665,5.403388977050781
64,5.401681423187256,0.00046602808288298547,5.401215553283691
65,5.39951753616333,0.00047444234951399267,5.399043083190918
66,5.397354602813721,0.0004830096731893718,5.396871566772461
67,5.395191669464111,0.0004917311598546803,5.394700050354004
68,5.393029689788818,0.0005006086430512369,5.392529010772705
69,5.390868663787842,0.0005096434033475816,5.390358924865723
70,5.388708591461182,0.0005188366631045938,5.388189792633057
71,5.3865485191345215,0.0005281897028908134,5.386020183563232
72,5.3843889236450195,0.0005377044435590506,5.383851051330566
73,5.382230758666992,0.0005473819328472018,5.381683349609375
74,5.380072116851807,0.0005572241498157382,5.379514694213867
75,5.3779144287109375,0.000567232200410217,5.377346992492676
76,5.375757217407227,0.0005774075398221612,5.375179767608643
77,5.373600006103516,0.0005877520889043808,5.373012065887451
78,5.371443271636963,0.0005982669536024332,5.370844841003418
79,5.36928653717041,0.0006089541711844504,5.368677616119385
80,5.367130756378174,0.0006198149640113115,5.36651086807251
81,5.364974498748779,0.0006308507290668786,5.364343643188477
82,5.362818717956543,0.0006420636200346053,5.362176418304443
83,5.360662460327148,0.000653454742860049,5.36000919342041
84,5.358508110046387,0.0006650260766036808,5.357842922210693
85,5.35635232925415,0.0006767790182493627,5.35567569732666
86,5.354197025299072,0.0006887152558192611,5.353508472442627
87,5.352041721343994,0.0007008364191278815,5.3513407707214355
88,5.349885940551758,0.0007131443708203733,5.349172592163086
89,5.3477301597595215,0.0007256403332576156,5.347004413604736
90,5.345574855804443,0.000738326518330723,5.344836711883545
91,5.343418598175049,0.0007512042648158967,5.342667579650879
92,5.3412628173828125,0.0007642751443199813,5.340498447418213
93,5.339107036590576,0.0007775411941111088,5.338329315185547
94,5.336950778961182,0.000791003811173141,5.336159706115723
95,5.334794521331787,0.0008046653238125145,5.33398962020874
96,5.332637786865234,0.0008185267797671258,5.3318190574646
97,5.330480098724365,0.0008325903909280896,5.329647541046143
98,5.328322887420654,0.0008468577289022505,5.3274760246276855
